Level,Degree,Term,courseName,courseID,courseType,creditHours,Grade
G,M1,1,Analog Electronics Circuits,EE 201,Major,4,90
G,M1,1,Advanced Digital Circuit Design,EE 422,Major,3,92
G,M1,1,Antennas and Propagation,EE 431,Major,2,98
G,M1,2,Applied Linear Algebra,MATH 415,Minor,4,99
G,M1,2,Microfabrication,EE 533,Minor,2,94
G,M1,3,Energy Conversion,EE 452,Minor,4,91
G,M1,3,Digital Systems Testing,EE 557,Minor,3,93
G,M1,4,Nanoelectronics,EE 537,Minor,3,97
G,M1,4,Wireless Communications,EE 442,Major,2,99
G,M1,4,Advanced Control Systems,EE 461,Major,3,99
U,BS1,1,Operating Systems,CS 461,Major,3,97
U,BS1,1,Numerical Methods I,CS 357,Minor,2,94
U,BS1,2,Introduction to Computer Science,CS 101,Minor,2,92
U,BS1,2,Software Engineering I,CS 427,Major,4,91
U,BS1,2,Finite Element Analysis,ME 470,Major,4,90
U,BS1,3,Advanced Thermodynamics,ME 410,Major,3,97
U,BS1,3,Materials Selection in Mechanical Design,ME 471,Major,4,95
U,BS1,4,Systems Programming,CS 241,Major,4,99
U,BS1,4,Database Systems,CS 411,Major,3,93
U,BS1,4,Introduction to Cryptography,CS 460,Minor,3,95
